date,open,high,low,close,volume
2014-11-28,363.59,381.34,360.57,376.28,3220878.18
2014-11-29,376.42,386.6,372.25,376.72,2746157.05
2014-11-30,376.57,381.99,373.32,373.34,1145566.61
2014-12-01,376.4,382.31,373.03,378.39,2520662.37
2014-12-02,378.39,382.86,375.23,379.25,2593576.46
2014-12-03,379.25,383.0,374.23,376.67,2998357.92
2014-12-04,376.67,378.99,360.01,365.2,3297896.46
2014-12-05,365.2,377.89,363.99,374.95,3331762.49
2014-12-06,374.95,376.99,371.31,375.07,861748.71
2014-12-07,375.07,377.5,373.16,376.87,913715.62
2014-12-08,376.87,377.45,364.6,364.61,3655238.4
2014-12-09,364.61,365.48,343.97,350.49,7376463.45
2014-12-10,350.49,353.74,347.23,348.13,2304335.87
2014-12-11,348.13,364.43,339.8,348.98,5842055.01
2014-12-12,348.98,358.59,348.0,354.48,2846451.59
2014-12-13,354.48,354.95,347.03,351.45,1359211.39
2014-12-14,351.45,351.98,348.96,350.17,196831.56
2014-12-15,350.17,350.17,350.17,350.17,0.0
2014-12-16,350.17,350.17,330.0,330.02,1902071.15
2014-12-17,331.56,335.99,315.23,321.1,7586686.22
2014-12-18,321.32,325.61,304.99,312.17,6788858.09
2014-12-19,310.48,320.0,307.11,318.0,4999167.76
2014-12-20,317.23,333.0,316.52,329.99,3617196.63
2014-12-21,332.58,332.98,318.78,323.15,2114707.57
2014-12-22,322.24,333.99,319.9,330.52,3821126.0
2014-12-23,330.52,338.99,327.49,335.49,2604314.14
2014-12-24,337.0,337.0,320.92,322.14,1826465.31
2014-12-25,320.92,324.23,316.63,319.39,1255322.02
2014-12-26,319.0,332.0,316.64,330.88,2066944.34
2014-12-27,330.97,330.97,311.63,315.89,2747753.48
2014-12-28,315.89,319.56,311.22,316.63,1288906.81
2014-12-29,316.63,320.14,311.61,314.78,1859591.78
2014-12-30,314.78,316.77,310.0,311.94,3091941.68
2014-12-31,311.94,320.0,310.69,319.25,1925334.88
2015-01-01,319.25,321.0,312.6,316.31,1018388.35
2015-01-02,316.31,317.01,311.96,316.51,1093571.94
2015-01-03,316.51,316.58,285.0,286.01,6078845.04
2015-01-04,286.01,289.81,255.0,264.62,11614560.04
2015-01-05,264.62,280.0,262.94,276.8,2655979.12
2015-01-06,276.8,276.8,276.8,276.8,0.0
2015-01-07,276.8,276.8,276.8,276.8,0.0
2015-01-08,276.8,276.8,276.8,276.8,0.0
2015-01-09,276.8,276.8,276.8,276.8,0.0
2015-01-10,276.8,276.8,276.8,276.8,0.0
2015-01-11,276.8,276.8,276.8,276.8,0.0
2015-01-12,270.4,272.43,263.54,268.16,2133679.78
2015-01-13,268.16,268.72,216.0,221.0,13652228.51
2015-01-14,221.0,230.89,152.4,162.0,23647658.54
2015-01-15,162.0,233.9,161.1,208.81,17721319.5
2015-01-16,214.77,223.15,198.04,206.6,7308109.72
2015-01-17,206.6,212.84,192.17,200.1,4007435.83
2015-01-18,200.1,222.0,195.02,211.42,3816641.51
2015-01-19,210.05,220.94,207.7,216.88,2729178.12
2015-01-20,217.84,217.84,201.98,211.08,2998319.48
2015-01-21,211.08,228.9,205.0,228.59,4937625.47
2015-01-22,228.59,239.0,226.01,233.0,6003089.46
2015-01-23,233.0,240.0,225.55,233.03,3539626.61
2015-01-24,233.03,249.99,230.03,249.99,3297573.46
2015-01-25,249.99,257.0,241.33,253.09,7019125.49
2015-01-26,253.09,309.9,253.09,269.5,15614774.92
2015-01-27,269.5,278.51,243.1,262.99,5501345.88
2015-01-28,262.99,266.45,225.91,236.2,6774004.56
2015-01-29,236.2,242.18,220.0,234.75,6076004.2
2015-01-30,234.75,244.98,227.26,232.6,4653564.37
2015-01-31,232.6,234.8,215.75,217.98,4494529.82
2015-02-01,217.98,220.81,208.48,214.8,1336586.85
2015-02-02,214.8,241.98,214.8,237.97,1494778.57
2015-02-03,237.97,244.39,223.79,227.35,4178199.28
2015-02-04,227.35,231.0,220.02,227.0,3220391.1
2015-02-05,227.0,228.94,213.64,217.0,953936.47
2015-02-06,216.81,225.86,214.95,222.88,1044545.84
2015-02-07,223.37,231.14,221.77,228.61,1444459.22
2015-02-08,228.3,232.89,219.7,224.19,1232858.74
2015-02-09,224.19,225.99,215.0,220.72,4277024.95
2015-02-10,220.72,222.0,215.0,220.95,1385375.22
2015-02-11,220.95,223.43,217.99,219.12,2057106.38
2015-02-12,219.55,223.07,218.17,222.46,886601.16
2015-02-13,223.0,242.35,221.37,236.86,1895018.31
2015-02-14,237.0,259.31,236.9,257.9,2698932.39
2015-02-15,256.99,265.89,227.75,234.01,4533254.41
2015-02-16,234.01,241.23,229.2,236.55,2907774.51
2015-02-17,236.55,248.78,232.01,244.96,2871937.78
2015-02-18,244.96,247.0,232.24,235.79,1626634.28
2015-02-19,237.37,245.01,235.66,242.67,1138295.79
2015-02-20,240.59,248.96,239.41,246.1,1115548.64
2015-02-21,245.48,247.48,244.0,245.87,381377.02
2015-02-22,245.41,247.42,232.48,236.68,1598342.42
2015-02-23,236.68,240.66,232.05,238.92,873272.09
2015-02-24,239.65,240.88,236.3,239.69,580503.8
2015-02-25,239.94,240.61,236.0,238.0,413399.21
2015-02-26,237.97,238.55,234.01,236.7,826644.88
2015-02-27,236.7,256.15,236.16,253.06,5507719.94
2015-02-28,253.06,254.29,245.2,252.98,906874.89
2015-03-01,253.47,260.0,245.0,255.81,1275703.25
2015-03-02,258.34,274.81,256.0,274.0,2598170.67
2015-03-03,274.0,284.95,265.89,279.0,6104061.68
2015-03-04,279.0,283.88,264.94,269.83,3934109.59
2015-03-05,269.83,280.5,262.2,273.8,3070426.12
2015-03-06,273.8,276.46,269.0,273.26,1907509.64
2015-03-07,273.26,279.48,270.0,275.59,1540760.07
2015-03-08,275.59,277.59,271.12,274.89,1223277.71
2015-03-09,274.89,289.0,274.17,287.0,3389556.2
2015-03-10,287.0,296.8,283.96,290.24,3744249.17
2015-03-11,290.24,296.74,285.83,295.11,1979535.16
2015-03-12,295.11,297.95,289.0,295.56,2399612.33
2015-03-13,295.56,295.84,282.99,284.4,2654225.31
2015-03-14,284.4,287.69,280.46,282.7,1595106.71
2015-03-15,282.7,287.75,281.42,286.4,691987.13
2015-03-16,286.4,294.26,285.78,289.7,1882414.82
2015-03-17,289.7,292.99,281.9,284.46,1864637.8
2015-03-18,284.46,284.48,249.02,257.29,5650707.75
2015-03-19,257.29,265.95,249.0,262.01,3808281.05
2015-03-20,262.01,265.27,257.0,262.09,1482272.82
2015-03-21,262.09,262.62,256.25,259.8,1199360.1
